line_and_segment,year,longitude,latitude,height_m,total_field_anomaly_nt
FL-89-1,1958,-3.17568,54.08392,305,-36
FL-89-1,1958,-3.16797,54.08385,306,-35
FL-89-1,1958,-3.15475,54.08395,309,-36
FL-89-1,1958,-3.14062,54.08438,305,-36
FL-89-1,1958,-3.1312,54.08445,305,-37
FL-89-1,1958,-3.12765,54.08448,305,-36
FL-89-1,1958,-3.11632,54.08454,305,-38
FL-89-1,1958,-3.11194,54.0847,305,-36
FL-89-1,1958,-3.1061,54.08471,305,-33
FL-89-1,1958,-3.10047,54.08471,305,-33
FL-89-1,1958,-3.09465,54.08476,305,-30
FL-89-1,1958,-3.08396,54.08478,305,-34
FL-89-1,1958,-3.00578,54.08513,305,-26
FL-89-1,1958,-2.98655,54.08533,305,-23
FL-89-1,1958,-2.95295,54.08566,305,-23
FL-89-1,1958,-2.90557,54.086,305,-18
FL-89-1,1958,-2.82514,54.08645,315,-25
FL-89-1,1958,-2.81618,54.08642,320,-24
FL-89-1,1958,-2.80894,54.0866,326,-26
FL-89-1,1958,-2.7319,54.08792,393,-34
FL-89-1,1958,-2.64514,54.08799,460,-43
FL-89-1,1958,-2.62852,54.08813,471,-44
FL-89-1,1958,-2.47514,54.08866,586,-21
FL-89-1,1958,-2.43294,54.08875,502,-12
FL-89-1,1958,-2.38447,54.08885,454,-3
FL-89-1,1958,-2.3276,54.08942,505,4
FL-89-1,1958,-2.27813,54.08953,522,2
FL-89-1,1958,-2.27316,54.08946,540,4
FL-89-1,1958,-2.26862,54.08953,558,2
FL-89-1,1958,-2.22342,54.08992,704,-8
FL-89-1,1958,-2.13637,54.08983,703,-17
FL-89-1,1958,-2.06968,54.08947,689,-9
FL-89-1,1958,-2.04574,54.08955,576,-1
FL-89-1,1958,-2.02867,54.08951,533,8
FL-89-1,1958,-1.99941,54.08976,607,19
FL-89-1,1958,-1.95945,54.09005,643,30
FL-89-1,1958,-1.92511,54.09023,652,40
FL-89-1,1958,-1.92487,54.09013,651,40
FL-89-1,1958,-1.83042,54.08962,634,54
FL-89-1,1958,-1.79993,54.08903,538,58
FL-89-1,1958,-1.77347,54.08896,484,66
FL-89-1,1958,-1.7489,54.09012,547,78
FL-89-1,1958,-1.72436,54.09141,574,88
FL-89-1,1958,-1.6881,54.09158,535,95
FL-89-1,1958,-1.64753,54.09011,506,87
FL-89-1,1958,-1.61693,54.08924,457,76
FL-90-1,1958,-3.19991,54.10179,311,-39
FL-90-1,1958,-3.19104,54.10136,316,-37
FL-90-1,1958,-3.18676,54.10135,319,-34
FL-90-1,1958,-3.17279,54.10117,325,-35
FL-90-1,1958,-3.13936,54.10076,317,-34
FL-90-1,1958,-3.10645,54.10309,305,-36
FL-90-1,1958,-3.0949,54.10375,305,-29
FL-90-1,1958,-3.08835,54.10422,305,-30
FL-90-1,1958,-3.08602,54.10442,305,-27
FL-90-1,1958,-3.07915,54.1048,305,-27
FL-90-1,1958,-3.06768,54.10493,305,-24
FL-90-1,1958,-3.00433,54.10501,305,-17
FL-90-1,1958,-2.9662,54.1032,305,-17
FL-90-1,1958,-2.93348,54.10166,305,-14
FL-90-1,1958,-2.88404,54.10171,305,-16
FL-90-1,1958,-2.8164,54.1046,306,-26
FL-90-1,1958,-2.7653,54.10596,369,-35
FL-90-1,1958,-2.66792,54.10589,348,-46
FL-90-1,1958,-2.65116,54.1062,330,-48
FL-90-1,1958,-2.55124,54.1067,423,-44
FL-90-1,1958,-2.51891,54.10738,435,-24
FL-90-1,1958,-2.48784,54.10734,439,-14
FL-90-1,1958,-2.4403,54.10681,448,-4
FL-90-1,1958,-2.39568,54.10687,448,6
FL-90-1,1958,-2.33539,54.10729,506,16
FL-90-1,1958,-2.27201,54.10799,603,9
FL-90-1,1958,-2.19785,54.10772,790,-7
FL-90-1,1958,-2.1544,54.10784,750,-10
FL-90-1,1958,-2.11901,54.10828,790,-7
FL-90-1,1958,-2.08298,54.10822,748,2
FL-90-1,1958,-2.05884,54.10829,625,10
FL-90-1,1958,-2.0393,54.10809,522,17
FL-90-1,1958,-2.02248,54.10833,583,29
FL-90-1,1958,-2.00099,54.1084,675,41
FL-90-1,1958,-1.98016,54.10852,709,51
FL-90-1,1958,-1.95035,54.10865,745,62
FL-90-1,1958,-1.92219,54.10859,745,66
FL-90-1,1958,-1.8883,54.10864,782,63
FL-90-1,1958,-1.84989,54.10853,719,56
FL-90-1,1958,-1.84257,54.10941,696,55
FL-90-1,1958,-1.8011,54.10814,526,57
FL-90-1,1958,-1.79052,54.1076,500,60
FL-90-1,1958,-1.78212,54.10765,488,65
FL-90-1,1958,-1.74516,54.10803,647,69
FL-90-1,1958,-1.73786,54.10832,619,79
FL-90-1,1958,-1.70544,54.10854,557,88
FL-90-1,1958,-1.68084,54.10913,537,87
FL-90-1,1958,-1.64717,54.10844,493,76
FL-90-1,1958,-1.62067,54.10738,467,66
FL-91-2,1958,-3.11485,54.12128,328,-26
FL-91-2,1958,-3.11411,54.12126,327,-36
FL-91-2,1958,-3.06327,54.12164,305,-17
FL-91-2,1958,-3.06246,54.12135,305,-27
FL-91-2,1958,-2.98138,54.12191,305,-7
FL-91-2,1958,-2.90032,54.12283,305,-17
FL-91-2,1958,-2.90018,54.12249,305,-17
FL-91-2,1958,-2.83586,54.12329,305,-27
FL-91-2,1958,-2.7833,54.1235,331,-31
FL-91-2,1958,-2.78293,54.12327,332,-31
FL-91-2,1958,-2.7755,54.12326,339,-27
FL-91-2,1958,-2.77525,54.12362,338,-27
FL-91-2,1958,-2.75877,54.1238,334,-36
FL-91-2,1958,-2.75694,54.12394,339,-32
FL-91-2,1958,-2.75685,54.12432,337,-36
FL-91-2,1958,-2.72422,54.12498,377,-42
FL-91-2,1958,-2.72408,54.1246,379,-42
FL-91-2,1958,-2.70846,54.12422,408,-42
FL-91-2,1958,-2.70833,54.12389,409,-42
FL-91-2,1958,-2.69306,54.12393,415,-44
FL-91-2,1958,-2.69296,54.12428,415,-44
FL-91-2,1958,-2.68399,54.12442,408,-46
FL-91-2,1958,-2.6839,54.12411,407,-46
FL-91-2,1958,-2.6488,54.12504,353,-47
FL-91-2,1958,-2.64864,54.12472,352,-49
FL-91-2,1958,-2.62546,54.12492,384,-48
FL-91-2,1958,-2.62509,54.12474,386,-48
FL-91-2,1958,-2.61315,54.12455,390,-47
FL-91-2,1958,-2.59767,54.12493,380,-45
FL-91-2,1958,-2.59742,54.12467,380,-45
FL-91-2,1958,-2.55739,54.12501,386,-35
FL-91-2,1958,-2.55729,54.12539,386,-55
FL-91-2,1958,-2.5296,54.12601,404,-25
FL-91-2,1958,-2.50418,54.12612,423,-14
FL-91-2,1958,-2.47751,54.12579,453,-4
FL-91-2,1958,-2.47722,54.12584,453,-4
FL-91-2,1958,-2.44571,54.12556,470,7
FL-91-2,1958,-2.44531,54.12523,470,7
FL-91-2,1958,-2.42116,54.12528,483,17
FL-91-2,1958,-2.41999,54.12507,483,17
FL-91-2,1958,-2.37018,54.12532,562,28
FL-91-2,1958,-2.36965,54.12492,561,28
FL-91-2,1958,-2.32075,54.12567,608,27
FL-91-2,1958,-2.32044,54.12591,612,27
FL-91-2,1958,-2.2868,54.12024,562,18
FL-91-2,1958,-2.23738,54.12436,709,11
FL-91-2,1958,-2.19025,54.12581,803,6
FL-91-2,1958,-2.19019,54.12623,806,6
FL-91-2,1958,-2.10938,54.12598,708,11
FL-91-2,1958,-2.10912,54.12594,707,11
FL-91-2,1958,-2.0811,54.12579,614,19
FL-91-2,1958,-2.08102,54.12568,616,19
FL-91-2,1958,-2.05946,54.12567,588,29
FL-91-2,1958,-2.05879,54.12554,586,29
FL-91-2,1958,-2.03363,54.12569,577,38
FL-91-2,1958,-2.03297,54.12559,581,38
FL-91-2,1958,-2.00397,54.126,754,52
FL-91-2,1958,-2.0032,54.12577,756,52
FL-91-2,1958,-1.97178,54.12607,790,63
FL-91-2,1958,-1.88821,54.12354,777,62
FL-91-2,1958,-1.81719,54.12601,517,48
FL-91-2,1958,-1.81713,54.12605,517,48
FL-91-2,1958,-1.76733,54.12677,660,60
FL-91-2,1958,-1.76731,54.12664,659,60
FL-91-2,1958,-1.74638,54.12648,638,69
FL-91-2,1958,-1.74625,54.12676,638,69
FL-91-2,1958,-1.70963,54.12713,564,75
FL-91-2,1958,-1.70943,54.12695,564,75
FL-91-2,1958,-1.65908,54.12595,488,66
FL-91-2,1958,-1.65891,54.12589,488,66
FL-91-2,1958,-1.63331,54.12645,431,55
FL-91-2,1958,-1.63323,54.1264,430,55
FL-92-1,1958,-3.1466,54.13899,358,-16
FL-92-1,1958,-3.13288,54.1389,343,-16
FL-92-1,1958,-3.09459,54.13954,348,-8
FL-92-1,1958,-3.08565,54.13946,320,-9
FL-92-1,1958,-3.07743,54.14009,305,-7
FL-92-1,1958,-3.02442,54.13991,305,3
FL-92-1,1958,-2.92542,54.1405,305,-4
FL-92-1,1958,-2.91415,54.14038,305,-7
FL-92-1,1958,-2.8769,54.14059,305,-17
FL-92-1,1958,-2.83,54.14067,305,-27
FL-92-1,1958,-2.77211,54.14093,331,-36
FL-92-1,1958,-2.71004,54.14238,348,-46
FL-92-1,1958,-2.65418,54.14237,386,-48
FL-92-1,1958,-2.60895,54.14259,350,-46
FL-92-1,1958,-2.56067,54.14257,385,-35
FL-92-1,1958,-2.53603,54.14298,397,-25
FL-92-1,1958,-2.50826,54.1432,401,-15
FL-92-1,1958,-2.48189,54.14315,421,-5
FL-92-1,1958,-2.47325,54.14281,427,-2
FL-92-1,1958,-2.46854,54.14237,432,4
FL-92-1,1958,-2.46285,54.14226,450,6
FL-92-1,1958,-2.43809,54.15042,596,29
FL-92-1,1958,-2.41625,54.14952,734,42
FL-92-1,1958,-2.39583,54.14849,751,47
FL-92-1,1958,-2.36615,54.14704,692,50
FL-92-1,1958,-2.36192,54.14704,693,51
FL-92-1,1958,-2.34211,54.14613,667,55
FL-92-1,1958,-2.32759,54.14557,654,55
FL-92-1,1958,-2.31422,54.14484,644,59
FL-92-1,1958,-2.30837,54.14481,603,59
FL-92-1,1958,-2.30494,54.14471,582,69
FL-92-1,1958,-2.30327,54.14444,569,80
FL-92-1,1958,-2.3012,54.14435,554,68
FL-92-1,1958,-2.29961,54.14439,546,58
FL-92-1,1958,-2.29733,54.1443,549,52
FL-92-1,1958,-2.29054,54.14409,559,48
FL-92-1,1958,-2.28185,54.14393,585,44
FL-92-1,1958,-2.27307,54.14385,646,49
FL-92-1,1958,-2.26611,54.14388,691,41
FL-92-1,1958,-2.24638,54.14367,747,32
FL-92-1,1958,-2.21455,54.14349,843,28
FL-92-1,1958,-2.20119,54.14368,885,31
FL-92-1,1958,-2.1583,54.14409,806,26
FL-92-1,1958,-2.12549,54.14424,615,29
FL-92-1,1958,-2.10303,54.1442,618,36
FL-92-1,1958,-2.08242,54.14418,707,37
FL-92-1,1958,-2.07265,54.14435,728,41
FL-92-1,1958,-2.0461,54.14394,598,48
FL-92-1,1958,-2.02943,54.1437,666,46
FL-92-1,1958,-2.00178,54.14348,854,54
FL-92-1,1958,-1.95891,54.14331,826,63
FL-92-1,1958,-1.93712,54.14289,791,68
FL-92-1,1958,-1.92012,54.14312,743,58
FL-92-1,1958,-1.89339,54.143,729,56
FL-92-1,1958,-1.87253,54.14291,661,50
FL-92-1,1958,-1.84258,54.14331,556,37
FL-92-1,1958,-1.82788,54.14352,523,34
FL-92-1,1958,-1.81783,54.14364,555,36
FL-92-1,1958,-1.80643,54.14381,594,35
FL-92-1,1958,-1.78945,54.14401,623,39
FL-92-1,1958,-1.75747,54.14416,660,49
FL-92-1,1958,-1.69326,54.14484,484,56
FL-92-1,1958,-1.65438,54.14493,480,45
FL-93-1,1958,-3.19631,54.155,362,-16
FL-93-1,1958,-3.19415,54.15503,363,-18
FL-93-1,1958,-3.18847,54.15506,365,-16
FL-93-1,1958,-3.17655,54.15526,365,-9
FL-93-1,1958,-3.17326,54.15528,365,-11
FL-93-1,1958,-3.13868,54.15615,377,-6
FL-93-1,1958,-3.09168,54.15683,382,4
FL-93-1,1958,-3.05809,54.15682,307,6
FL-93-1,1958,-3.0262,54.15699,305,4
FL-93-1,1958,-2.97009,54.15756,310,8
FL-93-1,1958,-2.94012,54.15752,308,3
FL-93-1,1958,-2.90245,54.15776,305,-7
FL-93-1,1958,-2.86715,54.15792,305,-17
FL-93-1,1958,-2.82922,54.15807,320,-27
FL-93-1,1958,-2.70114,54.15823,388,-45
FL-93-1,1958,-2.65257,54.15932,359,-48
FL-93-1,1958,-2.61366,54.15913,337,-47
FL-93-1,1958,-2.57278,54.15912,360,-36
FL-93-1,1958,-2.54366,54.15904,394,-25
FL-93-1,1958,-2.51799,54.15903,425,-15
FL-93-1,1958,-2.49594,54.15842,435,-5
FL-93-1,1958,-2.48554,54.15788,444,5
FL-93-1,1958,-2.47827,54.15772,451,6
FL-93-1,1958,-2.46246,54.15684,480,16
FL-93-1,1958,-2.45276,54.15641,519,27
FL-93-1,1958,-2.45089,54.1561,533,29
FL-93-1,1958,-2.43197,54.15561,658,40
FL-93-1,1958,-2.40546,54.15805,834,54
FL-93-1,1958,-2.38442,54.15993,843,60
FL-93-1,1958,-2.37865,54.16051,815,63
FL-93-1,1958,-2.36014,54.16118,744,72
FL-93-1,1958,-2.32376,54.16053,612,79
FL-93-1,1958,-2.29913,54.16097,574,78
FL-93-1,1958,-2.27689,54.16153,688,70
FL-93-1,1958,-2.26027,54.16107,790,63
FL-93-1,1958,-2.24269,54.15984,843,56
FL-93-1,1958,-2.2315,54.15929,805,53
FL-93-1,1958,-2.19555,54.15832,763,47
FL-93-1,1958,-2.17148,54.15826,774,42
FL-93-1,1958,-2.16612,54.15805,750,40
FL-93-1,1958,-2.12379,54.15837,673,36
FL-93-1,1958,-2.09835,54.15911,788,42
FL-93-1,1958,-2.07821,54.15935,680,50
FL-93-1,1958,-2.06508,54.15941,611,56
FL-93-1,1958,-2.03421,54.16012,661,56
FL-93-1,1958,-2.00067,54.16083,918,55
FL-93-1,1958,-1.98402,54.16109,930,54
FL-93-1,1958,-1.97732,54.16141,901,54
FL-93-1,1958,-1.97292,54.16129,880,57
FL-93-1,1958,-1.94252,54.16143,797,57
FL-93-1,1958,-1.88046,54.16206,601,33
FL-93-1,1958,-1.86739,54.1614,562,29
FL-93-1,1958,-1.86248,54.16112,548,30
FL-93-1,1958,-1.85618,54.16075,533,27
FL-93-1,1958,-1.83324,54.16083,607,18
FL-93-1,1958,-1.81151,54.1613,689,17
FL-93-1,1958,-1.79097,54.16166,690,20
FL-93-1,1958,-1.75297,54.1622,660,29
FL-93-1,1958,-1.70581,54.16253,530,36
FL-93-1,1958,-1.68621,54.16201,489,39
FL-93-1,1958,-1.61722,54.16156,420,30
FL-94-1,1958,-3.18652,54.17418,404,-16
FL-94-1,1958,-3.16472,54.17467,405,-10
FL-94-1,1958,-3.14496,54.17474,385,-6
FL-94-1,1958,-3.12384,54.17487,376,4
FL-94-1,1958,-3.09582,54.17454,354,13
FL-94-1,1958,-3.06248,54.17456,317,20
FL-94-1,1958,-3.03649,54.17457,305,15
FL-94-1,1958,-3.01112,54.17549,308,23
FL-94-1,1958,-2.97295,54.17597,326,30
FL-94-1,1958,-2.95197,54.17677,333,23
FL-94-1,1958,-2.91723,54.17723,314,8
FL-94-1,1958,-2.91245,54.17743,305,2
FL-94-1,1958,-2.88847,54.17745,305,-7
FL-94-1,1958,-2.87742,54.17714,305,-10
FL-94-1,1958,-2.87142,54.17695,305,-10
FL-94-1,1958,-2.85359,54.177,314,-17
FL-94-1,1958,-2.77048,54.17743,352,-36
FL-94-1,1958,-2.66055,54.17798,435,-44
FL-94-1,1958,-2.57862,54.17728,366,-36
FL-94-1,1958,-2.54163,54.17797,426,-25
FL-94-1,1958,-2.52076,54.17849,489,-14
FL-94-1,1958,-2.50427,54.17879,496,-4
FL-94-1,1958,-2.48886,54.17882,587,8
FL-94-1,1958,-2.46624,54.17882,583,28
FL-94-1,1958,-2.45581,54.17902,638,39
FL-94-1,1958,-2.45028,54.1791,643,49
FL-94-1,1958,-2.44902,54.17902,639,52
FL-94-1,1958,-2.44225,54.17931,624,59
FL-94-1,1958,-2.43683,54.17931,611,64
FL-94-1,1958,-2.43379,54.17926,606,69
FL-94-1,1958,-2.42828,54.17962,593,78
FL-94-1,1958,-2.42426,54.17961,586,88
FL-94-1,1958,-2.41838,54.17965,601,99
FL-94-1,1958,-2.41138,54.17977,619,109
FL-94-1,1958,-2.39833,54.17905,688,120
FL-94-1,1958,-2.38266,54.17936,790,132
FL-94-1,1958,-2.33848,54.17872,617,137
FL-94-1,1958,-2.30366,54.17915,630,119
FL-94-1,1958,-2.29428,54.17929,675,110
FL-94-1,1958,-2.28673,54.17921,707,101
FL-94-1,1958,-2.27573,54.17919,732,91
FL-94-1,1958,-2.26015,54.17916,768,82
FL-94-1,1958,-2.24049,54.17915,819,73
FL-94-1,1958,-2.2159,54.17918,797,66
FL-94-1,1958,-2.18693,54.17965,668,50
FL-94-1,1958,-2.17877,54.17924,647,47
FL-94-1,1958,-2.1727,54.17935,698,50
FL-94-1,1958,-2.15882,54.1798,803,63
FL-94-1,1958,-2.14336,54.17939,774,72
FL-94-1,1958,-2.13163,54.17959,803,77
FL-94-1,1958,-2.1159,54.17971,825,73
FL-94-1,1958,-2.10686,54.17965,734,65
FL-94-1,1958,-2.08626,54.17957,582,60
FL-94-1,1958,-2.0624,54.17967,754,51
FL-94-1,1958,-2.03128,54.17955,805,43
FL-94-1,1958,-2.00096,54.17959,849,50
FL-94-1,1958,-1.99372,54.17964,864,52
FL-94-1,1958,-1.95202,54.17966,718,40
FL-94-1,1958,-1.93898,54.17956,712,30
FL-94-1,1958,-1.91656,54.18038,718,10
FL-94-1,1958,-1.90142,54.18114,691,0
FL-94-1,1958,-1.88903,54.18181,670,-6
FL-94-1,1958,-1.84342,54.18231,654,-7
FL-94-1,1958,-1.8292,54.18209,698,-9
FL-94-1,1958,-1.7819,54.18068,588,-3
FL-94-1,1958,-1.75553,54.17939,634,8
FL-94-1,1958,-1.70191,54.17858,566,17
FL-94-1,1958,-1.67005,54.17858,488,23
FL-94-1,1958,-1.65125,54.17859,458,22
FL-94-1,1958,-1.62078,54.17918,403,23
FL-95-1,1958,-3.18415,54.18875,409,-12
FL-95-1,1958,-3.1841,54.18874,409,-12
FL-95-1,1958,-3.19257,54.1899,367,-20
FL-95-2,1958,-3.18972,54.18952,378,-16
FL-95-2,1958,-3.18611,54.18903,400,-12
FL-95-2,1958,-3.18078,54.18833,424,-7
FL-95-2,1958,-3.15992,54.18731,454,-8
FL-95-2,1958,-3.1401,54.18879,424,-5
FL-95-2,1958,-3.12022,54.18995,389,4
FL-95-2,1958,-3.10211,54.19104,364,13
FL-95-2,1958,-3.0933,54.1917,350,23
FL-95-2,1958,-3.08724,54.192,337,29
FL-95-2,1958,-3.07931,54.19258,325,24
FL-95-2,1958,-3.06685,54.19281,325,24
FL-95-2,1958,-3.06473,54.19259,322,21
FL-95-2,1958,-3.06319,54.19276,320,22
FL-95-2,1958,-3.04694,54.19278,305,32
FL-95-2,1958,-3.01535,54.19294,317,42
FL-95-2,1958,-3.01155,54.19284,321,44
FL-95-2,1958,-2.99289,54.19313,339,53
FL-95-2,1958,-2.98689,54.19287,347,55
FL-95-2,1958,-2.97407,54.19324,371,54
FL-95-2,1958,-2.9567,54.1937,352,43
FL-95-2,1958,-2.94537,54.19369,384,34
FL-95-2,1958,-2.93329,54.19374,412,24
FL-95-2,1958,-2.91918,54.19337,388,14
FL-95-2,1958,-2.90225,54.19389,341,3
FL-95-2,1958,-2.89394,54.19394,320,-4
FL-95-2,1958,-2.85029,54.19497,321,-17
FL-95-2,1958,-2.84068,54.19521,355,-20
FL-95-2,1958,-2.83055,54.19537,358,-20
FL-95-2,1958,-2.81169,54.19569,335,-27
FL-95-2,1958,-2.74127,54.19472,337,-37
FL-95-2,1958,-2.72595,54.19446,353,-40
FL-95-2,1958,-2.67353,54.19508,503,-39
FL-95-2,1958,-2.66593,54.19515,488,-41
FL-95-2,1958,-2.66095,54.19537,471,-37
FL-95-2,1958,-2.60458,54.19597,390,-36
FL-95-2,1958,-2.5596,54.19614,453,-25
FL-95-2,1958,-2.54645,54.19601,457,-15
FL-95-2,1958,-2.52007,54.19621,577,-2
FL-95-2,1958,-2.49789,54.19603,726,11
FL-95-2,1958,-2.48425,54.1959,805,23
FL-95-2,1958,-2.47523,54.19577,748,28
FL-95-2,1958,-2.46984,54.19595,716,31
FL-95-2,1958,-2.46749,54.19585,698,34
FL-95-2,1958,-2.46314,54.19592,665,40
FL-95-2,1958,-2.45733,54.19566,627,49
FL-95-2,1958,-2.45253,54.19575,606,58
FL-95-2,1958,-2.44049,54.19546,690,90
FL-95-2,1958,-2.42269,54.19545,696,120
FL-95-2,1958,-2.41837,54.19529,668,130
FL-95-2,1958,-2.41406,54.19524,648,139
FL-95-2,1958,-2.40934,54.19515,621,149
FL-95-2,1958,-2.40268,54.19514,610,159
FL-95-2,1958,-2.39822,54.19522,613,169
FL-95-2,1958,-2.38763,54.19558,624,179
FL-95-2,1958,-2.37133,54.19606,671,189
FL-95-2,1958,-2.36078,54.19641,694,180
FL-95-2,1958,-2.3487,54.19686,637,159
FL-95-2,1958,-2.34115,54.19708,612,149
FL-95-2,1958,-2.33506,54.19711,596,141
FL-95-2,1958,-2.3284,54.19727,589,138
FL-95-2,1958,-2.3268,54.19735,590,137
FL-95-2,1958,-2.31926,54.19724,600,128
FL-95-2,1958,-2.31746,54.19716,602,126
FL-95-2,1958,-2.30069,54.19698,683,123
FL-95-2,1958,-2.28944,54.19714,699,110
FL-95-2,1958,-2.28332,54.19696,711,101
FL-95-2,1958,-2.27894,54.19691,725,91
FL-95-2,1958,-2.2707,54.19686,757,81
FL-95-2,1958,-2.25436,54.19671,825,73
FL-95-2,1958,-2.24289,54.19662,822,71
FL-95-2,1958,-2.23529,54.19646,812,73
FL-95-2,1958,-2.21698,54.1962,767,73
FL-95-2,1958,-2.20664,54.19785,760,71
FL-95-2,1958,-2.19926,54.19907,801,65
FL-95-2,1958,-2.13242,54.19985,676,70
FL-95-2,1958,-2.1292,54.19947,677,80
FL-95-2,1958,-2.12544,54.19916,678,90
FL-95-2,1958,-2.12133,54.19851,683,102
FL-95-2,1958,-2.11816,54.19805,681,110
FL-95-2,1958,-2.11348,54.1976,657,99
FL-95-2,1958,-2.10717,54.19675,604,88
FL-95-2,1958,-2.10249,54.19624,566,77
FL-95-2,1958,-2.09685,54.19551,585,68
FL-95-2,1958,-2.09247,54.19508,605,58
FL-95-2,1958,-2.08931,54.19474,618,48
FL-95-2,1958,-2.08545,54.19458,646,39
FL-95-2,1958,-2.07122,54.19333,854,23
FL-95-2,1958,-2.04973,54.19383,920,17
FL-95-2,1958,-2.01214,54.19989,775,21
FL-95-2,1958,-1.96258,54.19997,750,51
FL-95-2,1958,-1.95641,54.19977,754,41
FL-95-2,1958,-1.9501,54.19975,761,31
FL-95-2,1958,-1.94039,54.19963,757,11
FL-95-2,1958,-1.92538,54.19954,773,-9
FL-95-2,1958,-1.92452,54.19967,778,-9
FL-95-2,1958,-1.91439,54.19954,795,-18
FL-95-2,1958,-1.89438,54.19937,756,-29
FL-95-2,1958,-1.84898,54.19884,730,-33
FL-95-2,1958,-1.81201,54.19845,662,-31
FL-95-2,1958,-1.80559,54.19844,644,-31
FL-95-2,1958,-1.7921,54.19826,605,-30
FL-95-2,1958,-1.78781,54.1982,589,-29
FL-95-2,1958,-1.7654,54.19794,527,-27
FL-95-2,1958,-1.74633,54.1979,566,-23
FL-95-2,1958,-1.73277,54.19791,564,-19
FL-95-2,1958,-1.7167,54.19778,530,-17
FL-95-2,1958,-1.71086,54.1976,539,-14
FL-95-2,1958,-1.70938,54.1975,541,-12
FL-95-2,1958,-1.68578,54.19694,530,-4
FL-95-2,1958,-1.68051,54.19678,522,-2
FL-95-2,1958,-1.65945,54.19643,486,5
FL-95-2,1958,-1.63148,54.19565,397,11
FL-95-2,1958,-1.60656,54.19603,377,23
TL-10-1,1958,-3.04869,53.20541,339,-39
TL-10-1,1958,-3.04983,53.21535,319,-33
TL-10-1,1958,-3.04967,53.22036,313,-35
TL-10-1,1958,-3.04965,53.22575,310,-32
TL-10-1,1958,-3.04947,53.22703,310,-42
TL-10-1,1958,-3.04933,53.22863,310,-52
TL-10-1,1958,-3.04976,53.22963,310,-54
TL-10-1,1958,-3.04951,53.23074,310,-52
TL-10-1,1958,-3.04943,53.23164,310,-42
TL-10-1,1958,-3.04956,53.23269,310,-32
TL-10-1,1958,-3.04969,53.23625,310,-15
TL-10-1,1958,-3.04965,53.23753,310,-32
TL-10-1,1958,-3.04935,53.23823,309,-42
TL-10-1,1958,-3.04943,53.23897,309,-52
TL-10-1,1958,-3.04954,53.23966,309,-56
TL-10-1,1958,-3.04943,53.24274,309,-52
TL-10-1,1958,-3.04973,53.24892,312,-42
TL-10-1,1958,-3.04992,53.25721,317,-38
TL-10-1,1958,-3.0504,53.27551,341,-39
TL-10-1,1958,-3.05104,53.28284,346,-38
TL-10-1,1958,-3.05206,53.29937,345,-41
TL-10-1,1958,-3.05383,53.35299,349,-41
TL-10-1,1958,-3.05942,53.45259,305,-36
TL-10-1,1958,-3.05931,53.51059,305,-37
TL-10-1,1958,-3.07201,53.65194,305,-51
TL-10-1,1958,-3.07159,53.65743,305,-50
TL-10-1,1958,-3.07086,53.66188,305,-49
TL-10-1,1958,-3.06983,53.66774,305,-50
TL-10-1,1958,-3.06085,53.7044,305,-61
TL-10-1,1958,-3.0651,53.74022,305,-81
TL-10-1,1958,-3.07,53.9094,305,-64
TL-10-1,1958,-3.07295,53.95437,305,-55
TL-10-1,1958,-3.07446,54.00221,305,-51
TL-10-1,1958,-3.0755,54.01389,305,-50
TL-10-1,1958,-3.07582,54.01709,305,-46
TL-10-1,1958,-3.07696,54.03268,305,-46
TL-10-1,1958,-3.07855,54.07227,305,-36
TL-10-1,1958,-3.07832,54.09728,305,-27
TL-10-1,1958,-3.07822,54.10732,305,-23
TL-10-1,1958,-3.07816,54.11026,305,-26
TL-10-1,1958,-3.07803,54.12368,305,-17
TL-10-1,1958,-3.07693,54.13807,305,-7
TL-10-1,1958,-3.07548,54.15233,305,3
TL-10-1,1958,-3.07372,54.16814,331,13
TL-10-1,1958,-3.07405,54.18204,325,23
TL-10-1,1958,-3.07342,54.18542,325,26
TL-10-1,1958,-3.07339,54.18819,325,28
TL-10-1,1958,-3.07294,54.19303,325,28
TL-10-1,1958,-3.0731,54.19481,325,26
TL-10-1,1958,-3.07264,54.19909,333,25
TL-11-1,1958,-2.9001,53.20168,330,-24
TL-11-1,1958,-2.90018,53.2078,330,-21
TL-11-1,1958,-2.90031,53.21101,330,-18
TL-11-1,1958,-2.90038,53.21363,332,-21
TL-11-1,1958,-2.90033,53.21559,333,-22
TL-11-1,1958,-2.90058,53.21814,334,-21
TL-11-1,1958,-2.9,53.22481,332,-17
TL-11-1,1958,-2.90038,53.2292,331,-19
TL-11-1,1958,-2.90187,53.26095,335,-2
TL-11-1,1958,-2.90229,53.27083,332,8
TL-11-1,1958,-2.90255,53.27395,330,13
TL-11-1,1958,-2.90364,53.284,321,13
TL-11-1,1958,-2.90393,53.28627,322,17
TL-11-1,1958,-2.90426,53.28815,322,20
TL-11-1,1958,-2.90473,53.29007,322,19
TL-11-1,1958,-2.90498,53.2926,321,21
TL-11-1,1958,-2.89778,53.31693,305,-4
TL-11-1,1958,-2.89863,53.32522,305,-14
TL-11-1,1958,-2.89969,53.33778,306,-18
TL-11-1,1958,-2.9026,53.36285,330,-24
TL-11-1,1958,-2.90313,53.3825,353,-20
TL-11-1,1958,-2.90264,53.38773,363,-24
