Easting[m],Northing[m],Elevation[m]
335100.000,4268250.000,493.777
334900.000,4260000.000,493.755
332450.000,4253450.000,506.257
333750.000,4258100.000,493.729
333450.000,4257300.000,506.284
335100.000,4270250.000,493.606
333900.000,4261400.000,506.401
334050.000,4258650.000,506.431
335200.000,4263250.000,493.506
333400.000,4257250.000,493.505
332650.000,4254500.000,506.525
335450.000,4265800.000,493.473
334850.000,4259900.000,493.437
332350.000,4252950.000,493.409
334400.000,4262250.000,493.402
333900.000,4261550.000,506.626
332400.000,4253050.000,506.677
333950.000,4261750.000,506.702
333600.000,4257750.000,493.295
334500.000,4262300.000,506.828
335100.000,4270300.000,493.019
332400.000,4253350.000,492.988
335100.000,4268200.000,492.944
332700.000,4254950.000,492.929
334800.000,4262600.000,507.088
335000.000,4260200.000,507.157
335400.000,4266400.000,492.776
333900.000,4261300.000,492.772
335000.000,4260250.000,507.231
334950.000,4263850.000,492.756
332750.000,4255000.000,507.244
332700.000,4254750.000,507.244
334200.000,4260950.000,492.727
335000.000,4262750.000,507.299
335450.000,4265750.000,492.699
335000.000,4264400.000,507.454
335100.000,4270350.000,492.433
333700.000,4257900.000,507.587
333800.000,4258150.000,507.643
334000.000,4261150.000,507.727
334100.000,4258800.000,492.264
333400.000,4257150.000,507.744
332850.000,4255500.000,492.226
332650.000,4254700.000,492.210
334950.000,4260250.000,492.195
333000.000,4255900.000,507.885
335100.000,4268150.000,492.111
333000.000,4256050.000,492.088
335300.000,4267050.000,507.932
334950.000,4260200.000,492.050
335350.000,4265000.000,507.993
335200.000,4263000.000,491.980
332850.000,4255350.000,508.023
335150.000,4270950.000,508.048
335150.000,4267650.000,491.907
334000.000,4258550.000,508.100
335250.000,4267150.000,491.865
335100.000,4270400.000,491.846
334350.000,4259150.000,508.181
333450.000,4257400.000,491.818
334250.000,4260950.000,508.244
333100.000,4256400.000,491.688
334950.000,4263950.000,508.340
332750.000,4255150.000,491.637
333150.000,4256550.000,491.618
333350.000,4257000.000,508.406
334750.000,4259700.000,508.419
332500.000,4253750.000,508.479
332600.000,4254450.000,491.491
335150.000,4270900.000,508.528
332450.000,4253400.000,508.538
334250.000,4259050.000,491.385
335200.000,4263100.000,491.380
332550.000,4253950.000,508.665
333550.000,4257650.000,491.331
334100.000,4261050.000,508.708
334000.000,4261850.000,508.722
335100.000,4270450.000,491.259
334200.000,4258900.000,508.769
335050.000,4264550.000,491.205
334600.000,4259500.000,508.863
332350.000,4253000.000,491.127
332400.000,4253000.000,508.958
335200.000,4263350.000,509.054
333300.000,4256850.000,509.068
333550.000,4257550.000,509.082
335000.000,4260300.000,509.094
335100.000,4268100.000,490.810
332550.000,4254200.000,490.772
334950.000,4264050.000,509.243
335150.000,4267900.000,509.251
332400.000,4253400.000,490.707
334450.000,4259350.000,490.690
333850.000,4258250.000,509.316
335100.000,4270500.000,490.673
332450.000,4253750.000,490.647
334700.000,4259700.000,490.625
335000.000,4263750.000,490.622
334600.000,4260750.000,509.383
332600.000,4254200.000,509.385
335400.000,4266350.000,490.557
334950.000,4264250.000,490.508
333100.000,4256250.000,509.519
335450.000,4266050.000,509.529
335350.000,4266850.000,509.531
332900.000,4255700.000,490.425
333900.000,4258350.000,509.595
332950.000,4255700.000,509.687
335150.000,4262950.000,490.298
333250.000,4256700.000,509.730
333050.000,4256250.000,490.257
333900.000,4261500.000,509.755
333950.000,4258450.000,509.769
335150.000,4270850.000,509.771
332500.000,4253950.000,490.224
334900.000,4259900.000,509.821
333900.000,4261450.000,509.846
335100.000,4270550.000,490.086
335350.000,4266650.000,490.053
335200.000,4267550.000,509.956
334950.000,4264000.000,509.994
