Easting[m],Northing[m],Vp[km/s],ElevationReference[m],ElevationLidar[m]1,x[m],y[m],z[m],Vs[km/s],Vp/Vs
336425.507,4262190.918,5.820,497.800,1747.798,3625.000,1500.000,1250.000,3.409,1.707
337550.507,4265190.918,5.820,497.720,1747.716,4750.000,4500.000,1250.000,3.409,1.707
333300.507,4261565.918,3.303,497.710,1622.706,500.000,875.000,1125.000,1.963,1.683
333550.507,4262065.918,3.369,497.650,1622.646,750.000,1375.000,1125.000,2.002,1.683
336425.507,4261815.918,5.820,502.370,1752.367,3625.000,1125.000,1250.000,3.409,1.707
334175.507,4263565.918,3.373,502.370,1627.375,1375.000,2875.000,1125.000,2.004,1.683
333300.507,4261190.918,3.311,497.610,1622.611,500.000,500.000,1125.000,1.967,1.683
333425.507,4261190.918,3.321,502.450,1627.447,625.000,500.000,1125.000,1.973,1.683
333675.507,4262065.918,3.354,502.490,1627.494,875.000,1375.000,1125.000,1.993,1.683
333050.507,4260940.918,3.302,497.470,1622.467,250.000,250.000,1125.000,1.962,1.683
334800.507,4265440.918,3.378,497.440,1622.438,2000.000,4750.000,1125.000,2.007,1.683
333925.507,4263315.918,3.454,497.410,1622.406,1125.000,2625.000,1125.000,2.052,1.683
336175.507,4260940.918,5.820,497.290,1747.294,3375.000,250.000,1250.000,3.409,1.707
333550.507,4261690.918,3.323,502.730,1627.732,750.000,1000.000,1125.000,1.974,1.683
337050.507,4264190.918,5.820,502.740,1752.737,4250.000,3500.000,1250.000,3.409,1.707
336925.507,4263940.918,5.820,502.750,1752.748,4125.000,3250.000,1250.000,3.409,1.707
334425.507,4264565.918,3.445,497.210,1622.212,1625.000,3875.000,1125.000,2.047,1.683
336300.507,4261065.918,5.820,502.820,1752.825,3500.000,375.000,1250.000,3.409,1.707
334050.507,4263815.918,3.385,497.150,1622.154,1250.000,3125.000,1125.000,2.011,1.683
337675.507,4265690.918,5.820,497.150,1747.146,4875.000,5000.000,1250.000,3.409,1.707
336300.507,4261190.918,5.820,502.880,1752.879,3500.000,500.000,1250.000,3.409,1.707
337425.507,4264690.918,5.820,502.940,1752.938,4625.000,4000.000,1250.000,3.409,1.707
334550.507,4264815.918,3.404,497.030,1622.029,1750.000,4125.000,1125.000,2.023,1.683
333425.507,4261440.918,3.312,502.970,1627.970,625.000,750.000,1125.000,1.968,1.683
333675.507,4261940.918,3.591,503.010,1628.011,875.000,1250.000,1125.000,2.134,1.683
336300.507,4260940.918,5.820,503.010,1753.011,3500.000,250.000,1250.000,3.409,1.707
336425.507,4262315.918,5.820,496.990,1746.985,3625.000,1625.000,1250.000,3.409,1.707
337550.507,4265065.918,5.820,503.040,1753.043,4750.000,4375.000,1250.000,3.409,1.707
334550.507,4264565.918,3.473,503.110,1628.113,1750.000,3875.000,1125.000,2.064,1.683
334425.507,4263940.918,3.573,496.880,1621.883,1625.000,3250.000,1125.000,2.123,1.683
336175.507,4260815.918,5.820,496.880,1746.883,3375.000,125.000,1250.000,3.409,1.707
336675.507,4262815.918,5.820,503.130,1753.134,3875.000,2125.000,1250.000,3.409,1.707
336300.507,4261565.918,5.820,496.860,1746.863,3500.000,875.000,1250.000,3.409,1.707
335050.507,4265690.918,3.612,503.140,1628.144,2250.000,5000.000,1125.000,2.146,1.683
337300.507,4263190.918,5.820,503.170,1753.167,4500.000,2500.000,1250.000,3.409,1.707
337300.507,4264565.918,5.820,496.780,1746.776,4500.000,3875.000,1250.000,3.409,1.707
334050.507,4263065.918,3.495,503.240,1628.239,1250.000,2375.000,1125.000,2.077,1.683
336550.507,4262440.918,5.820,503.340,1753.344,3750.000,1750.000,1250.000,3.409,1.707
337675.507,4265440.918,5.820,503.400,1753.397,4875.000,4750.000,1250.000,3.409,1.707
333050.507,4261065.918,3.302,496.530,1621.528,250.000,375.000,1125.000,1.962,1.683
337300.507,4264440.918,5.820,503.540,1753.540,4500.000,3750.000,1250.000,3.409,1.707
333425.507,4261065.918,3.322,503.540,1628.542,625.000,375.000,1125.000,1.974,1.683
337550.507,4263190.918,5.820,503.540,1753.540,4750.000,2500.000,1250.000,3.409,1.707
334050.507,4263690.918,3.359,496.440,1621.445,1250.000,3000.000,1125.000,1.996,1.683
334675.507,4264815.918,3.413,503.580,1628.582,1875.000,4125.000,1125.000,2.028,1.683
334925.507,4265315.918,3.403,503.610,1628.610,2125.000,4625.000,1125.000,2.022,1.683
336175.507,4261190.918,5.820,496.350,1746.351,3375.000,500.000,1250.000,3.409,1.707
336425.507,4261690.918,5.820,503.670,1753.672,3625.000,1000.000,1250.000,3.409,1.707
336175.507,4261065.918,5.820,496.330,1746.332,3375.000,375.000,1250.000,3.409,1.707
333550.507,4262190.918,3.375,496.320,1621.323,750.000,1500.000,1125.000,2.005,1.683
336300.507,4261690.918,5.820,496.220,1746.217,3500.000,1000.000,1250.000,3.409,1.707
333175.507,4260690.918,3.303,503.800,1628.800,375.000,0.000,1125.000,1.963,1.683
334800.507,4265065.918,3.378,503.810,1628.806,2000.000,4375.000,1125.000,2.007,1.683
336550.507,4262815.918,5.820,496.180,1746.181,3750.000,2125.000,1250.000,3.409,1.707
336425.507,4261565.918,5.820,503.820,1753.824,3625.000,875.000,1250.000,3.409,1.707
332925.507,4260690.918,3.301,496.150,1621.154,125.000,0.000,1125.000,1.961,1.683
336300.507,4260815.918,5.820,503.870,1753.874,3500.000,125.000,1250.000,3.409,1.707
336425.507,4262440.918,5.820,496.090,1746.086,3625.000,1750.000,1250.000,3.409,1.707
333800.507,4262315.918,3.354,503.910,1628.906,1000.000,1625.000,1125.000,1.993,1.683
334675.507,4265190.918,3.363,496.070,1621.071,1875.000,4500.000,1125.000,1.998,1.683
337175.507,4264315.918,5.820,504.040,1754.036,4375.000,3625.000,1250.000,3.409,1.707
336925.507,4264190.918,5.820,495.900,1745.901,4125.000,3500.000,1250.000,3.409,1.707
333675.507,4262565.918,3.371,495.890,1620.893,875.000,1875.000,1125.000,2.003,1.683
336800.507,4263940.918,5.820,495.710,1745.709,4000.000,3250.000,1250.000,3.409,1.707
336175.507,4260690.918,5.820,495.690,1745.688,3375.000,0.000,1250.000,3.409,1.707
334425.507,4264690.918,3.431,495.660,1620.664,1625.000,4000.000,1125.000,2.039,1.683
337425.507,4263315.918,5.820,495.590,1745.588,4625.000,2625.000,1250.000,3.409,1.707
336550.507,4262315.918,5.820,504.410,1754.408,3750.000,1625.000,1250.000,3.409,1.707
333300.507,4261690.918,3.303,495.520,1620.517,500.000,1000.000,1125.000,1.963,1.683
334175.507,4264190.918,3.461,495.510,1620.505,1375.000,3500.000,1125.000,2.056,1.683
333175.507,4261440.918,3.303,495.480,1620.477,375.000,750.000,1125.000,1.963,1.683
333425.507,4261940.918,3.364,495.470,1620.474,625.000,1250.000,1125.000,1.999,1.683
333300.507,4261065.918,3.312,504.600,1629.601,500.000,375.000,1125.000,1.968,1.683
334550.507,4264940.918,3.372,495.390,1620.393,1750.000,4250.000,1125.000,2.004,1.683
333925.507,4263440.918,3.400,495.380,1620.382,1125.000,2750.000,1125.000,2.020,1.683
334175.507,4264315.918,3.439,495.380,1620.384,1375.000,3625.000,1125.000,2.043,1.683
336800.507,4263065.918,5.820,504.660,1754.657,4000.000,2375.000,1250.000,3.409,1.707
