Easting[m],Northing[m],Vp[km/s],ElevationReference[m],ElevationLidar[m]1,x[m],y[m],z[m],Vs[km/s],Vp/Vs
336050.507,4261065.918,5.820,490.560,1740.560,3250.000,375.000,1250.000,3.409,1.707
337050.507,4263190.918,5.820,490.550,1740.547,4250.000,2500.000,1250.000,3.409,1.707
336175.507,4261565.918,5.820,490.490,1740.491,3375.000,875.000,1250.000,3.409,1.707
336050.507,4260815.918,5.820,490.420,1740.425,3250.000,125.000,1250.000,3.409,1.707
334050.507,4264315.918,3.441,490.330,1615.335,1250.000,3625.000,1125.000,2.045,1.683
336550.507,4263190.918,5.820,490.290,1740.286,3750.000,2500.000,1250.000,3.409,1.707
333550.507,4261315.918,3.330,509.710,1634.714,750.000,625.000,1125.000,1.979,1.683
336425.507,4260940.918,5.820,509.730,1759.725,3625.000,250.000,1250.000,3.409,1.707
337425.507,4265315.918,5.820,490.270,1740.268,4625.000,4625.000,1250.000,3.409,1.707
333925.507,4263940.918,3.516,490.120,1615.115,1125.000,3250.000,1125.000,2.089,1.683
337550.507,4264440.918,5.820,509.950,1759.952,4750.000,3750.000,1250.000,3.409,1.707
337175.507,4264690.918,5.820,490.030,1740.028,4375.000,4000.000,1250.000,3.409,1.707
334425.507,4264940.918,3.373,490.000,1615.001,1625.000,4250.000,1125.000,2.004,1.683
333550.507,4262690.918,3.383,489.990,1614.988,750.000,2000.000,1125.000,2.010,1.683
336800.507,4264190.918,5.820,489.960,1739.957,4000.000,3500.000,1250.000,3.409,1.707
334050.507,4262565.918,3.400,510.050,1635.052,1250.000,1875.000,1125.000,2.020,1.683
333425.507,4262315.918,3.387,489.930,1614.933,625.000,1625.000,1125.000,2.012,1.683
336550.507,4261815.918,5.820,510.080,1760.083,3750.000,1125.000,1250.000,3.409,1.707
334175.507,4263940.918,3.469,489.890,1614.888,1375.000,3250.000,1125.000,2.061,1.683
334050.507,4262440.918,3.376,510.130,1635.125,1250.000,1750.000,1125.000,2.006,1.683
333675.507,4261565.918,3.520,510.140,1635.145,875.000,875.000,1125.000,2.092,1.683
336925.507,4264440.918,5.820,489.850,1739.850,4125.000,3750.000,1250.000,3.409,1.707
336300.507,4262190.918,5.820,489.820,1739.815,3500.000,1500.000,1250.000,3.409,1.707
333925.507,4262190.918,3.915,510.180,1635.180,1125.000,1500.000,1125.000,2.326,1.683
336675.507,4262440.918,5.820,510.190,1760.186,3875.000,1750.000,1250.000,3.409,1.707
337550.507,4265690.918,5.820,489.750,1739.753,4750.000,5000.000,1250.000,3.409,1.707
337175.507,4263440.918,5.820,489.730,1739.734,4375.000,2750.000,1250.000,3.409,1.707
337175.507,4264815.918,5.820,489.690,1739.685,4375.000,4125.000,1250.000,3.409,1.707
336425.507,4262815.918,5.820,489.670,1739.671,3625.000,2125.000,1250.000,3.409,1.707
335175.507,4265565.918,4.357,510.350,1635.348,2375.000,4875.000,1125.000,2.589,1.683
334050.507,4263940.918,3.492,489.580,1614.583,1250.000,3250.000,1125.000,2.075,1.683
337050.507,4264565.918,5.820,489.550,1739.554,4250.000,3875.000,1250.000,3.409,1.707
336800.507,4262815.918,5.820,510.490,1760.486,4000.000,2125.000,1250.000,3.409,1.707
333675.507,4263065.918,3.588,489.460,1614.461,875.000,2375.000,1125.000,2.132,1.683
334675.507,4264440.918,3.502,510.640,1635.642,1875.000,3750.000,1125.000,2.081,1.683
336175.507,4261690.918,5.820,489.340,1739.339,3375.000,1000.000,1250.000,3.409,1.707
333300.507,4262065.918,3.331,489.160,1614.161,500.000,1375.000,1125.000,1.979,1.683
333550.507,4261190.918,3.335,510.850,1635.846,750.000,500.000,1125.000,1.982,1.683
334300.507,4264815.918,3.385,489.110,1614.112,1500.000,4125.000,1125.000,2.011,1.683
333550.507,4262815.918,3.405,489.100,1614.101,750.000,2125.000,1125.000,2.023,1.683
335050.507,4265190.918,3.612,510.940,1635.942,2250.000,4500.000,1125.000,2.146,1.683
333675.507,4261440.918,3.524,510.950,1635.945,875.000,750.000,1125.000,2.094,1.683
333675.507,4261065.918,3.355,510.960,1635.961,875.000,375.000,1125.000,1.993,1.683
333425.507,4260940.918,3.321,510.960,1635.959,625.000,250.000,1125.000,1.973,1.683
336050.507,4261315.918,5.820,489.030,1739.029,3250.000,625.000,1250.000,3.409,1.707
333050.507,4261565.918,3.301,489.020,1614.020,250.000,875.000,1125.000,1.961,1.683
334300.507,4263315.918,3.435,510.980,1635.976,1500.000,2625.000,1125.000,2.041,1.683
333675.507,4263190.918,3.580,488.980,1613.982,875.000,2500.000,1125.000,2.127,1.683
333050.507,4261315.918,3.301,488.960,1613.964,250.000,625.000,1125.000,1.961,1.683
336300.507,4262315.918,5.820,488.930,1738.934,3500.000,1625.000,1250.000,3.409,1.707
333175.507,4261815.918,3.301,488.910,1613.907,375.000,1125.000,1125.000,1.961,1.683
337050.507,4263690.918,5.820,511.090,1761.090,4250.000,3000.000,1250.000,3.409,1.707
334300.507,4263190.918,3.482,511.170,1636.173,1500.000,2500.000,1125.000,2.069,1.683
333800.507,4261690.918,4.110,511.190,1636.193,1000.000,1000.000,1125.000,2.442,1.683
336550.507,4261690.918,5.820,511.230,1761.229,3750.000,1000.000,1250.000,3.409,1.707
333675.507,4263315.918,3.541,488.700,1613.702,875.000,2625.000,1125.000,2.104,1.683
334175.507,4262815.918,3.464,511.380,1636.380,1375.000,2125.000,1125.000,2.058,1.683
333800.507,4263565.918,3.418,488.570,1613.572,1000.000,2875.000,1125.000,2.031,1.683
336550.507,4260690.918,5.820,511.480,1761.479,3750.000,0.000,1250.000,3.409,1.707
337800.507,4265440.918,5.820,511.510,1761.510,5000.000,4750.000,1250.000,3.409,1.707
337300.507,4263315.918,5.820,488.420,1738.425,4500.000,2625.000,1250.000,3.409,1.707
336800.507,4263565.918,5.820,488.330,1738.328,4000.000,2875.000,1250.000,3.409,1.707
337550.507,4264565.918,5.820,511.680,1761.684,4750.000,3875.000,1250.000,3.409,1.707
336550.507,4261565.918,5.820,511.700,1761.702,3750.000,875.000,1250.000,3.409,1.707
334550.507,4265315.918,3.357,488.280,1613.284,1750.000,4625.000,1125.000,1.995,1.683
334925.507,4264940.918,3.413,511.730,1636.731,2125.000,4250.000,1125.000,2.028,1.683
333175.507,4261940.918,3.303,488.260,1613.261,375.000,1250.000,1125.000,1.963,1.683
333425.507,4260815.918,3.318,511.790,1636.792,625.000,125.000,1125.000,1.971,1.683
336300.507,4262440.918,5.820,488.110,1738.110,3500.000,1750.000,1250.000,3.409,1.707
333050.507,4261690.918,3.300,488.110,1613.113,250.000,1000.000,1125.000,1.961,1.683
336175.507,4261815.918,5.820,488.100,1738.103,3375.000,1125.000,1250.000,3.409,1.707
336050.507,4261440.918,5.820,488.070,1738.068,3250.000,750.000,1250.000,3.409,1.707
333425.507,4262440.918,3.377,488.060,1613.058,625.000,1750.000,1125.000,2.007,1.683
332800.507,4260940.918,3.301,488.010,1613.012,0.000,250.000,1125.000,1.961,1.683
337300.507,4265190.918,5.820,488.000,1738.002,4500.000,4500.000,1250.000,3.409,1.707
334175.507,4264565.918,3.438,488.000,1613.005,1375.000,3875.000,1125.000,2.043,1.683
334800.507,4264690.918,3.494,512.030,1637.032,2000.000,4000.000,1125.000,2.076,1.683
337675.507,4264815.918,5.820,512.040,1762.041,4875.000,4125.000,1250.000,3.409,1.707
336675.507,4262315.918,5.820,512.060,1762.057,3875.000,1625.000,1250.000,3.409,1.707
333300.507,4262190.918,3.337,487.910,1612.910,500.000,1500.000,1125.000,1.983,1.683
334800.507,4264565.918,3.736,512.100,1637.097,2000.000,3875.000,1125.000,2.220,1.683
334175.507,4264065.918,3.506,487.850,1612.847,1375.000,3375.000,1125.000,2.083,1.683
333550.507,4262940.918,3.472,487.830,1612.830,750.000,2250.000,1125.000,2.063,1.683
334425.507,4263690.918,3.474,512.180,1637.182,1625.000,3000.000,1125.000,2.064,1.683
332800.507,4261065.918,3.301,487.800,1612.802,0.000,375.000,1125.000,1.961,1.683
337175.507,4264065.918,5.820,512.250,1762.255,4375.000,3375.000,1250.000,3.409,1.707
334550.507,4264065.918,3.447,512.310,1637.306,1750.000,3375.000,1125.000,2.048,1.683
333800.507,4263690.918,3.424,487.670,1612.671,1000.000,3000.000,1125.000,2.034,1.683
334550.507,4265440.918,3.357,487.670,1612.672,1750.000,4750.000,1125.000,1.995,1.683
334300.507,4263065.918,3.504,512.330,1637.331,1500.000,2375.000,1125.000,2.082,1.683
337425.507,4265440.918,5.820,487.630,1737.632,4625.000,4750.000,1250.000,3.409,1.707
335300.507,4265690.918,5.093,512.380,1637.385,2500.000,5000.000,1125.000,3.026,1.683
333800.507,4263940.918,3.494,487.470,1612.473,1000.000,3250.000,1125.000,2.076,1.683
333675.507,4263440.918,3.487,487.450,1612.447,875.000,2750.000,1125.000,2.072,1.683
335175.507,4265440.918,4.357,512.590,1637.592,2375.000,4750.000,1125.000,2.589,1.683
333925.507,4262065.918,4.291,512.600,1637.597,1125.000,1375.000,1125.000,2.550,1.683
336550.507,4261440.918,5.820,512.710,1762.710,3750.000,750.000,1250.000,3.409,1.707
334425.507,4265065.918,3.362,487.280,1612.282,1625.000,4375.000,1125.000,1.998,1.683
334675.507,4265690.918,3.363,487.220,1612.219,1875.000,5000.000,1125.000,1.998,1.683
334675.507,4264315.918,3.427,512.820,1637.819,1875.000,3625.000,1125.000,2.036,1.683
333425.507,4260690.918,3.315,512.820,1637.821,625.000,0.000,1125.000,1.970,1.683
333425.507,4262565.918,3.372,487.130,1612.130,625.000,1875.000,1125.000,2.004,1.683
334050.507,4264440.918,3.415,487.100,1612.098,1250.000,3750.000,1125.000,2.029,1.683
334800.507,4263565.918,3.585,512.920,1637.918,2000.000,2875.000,1125.000,2.130,1.683
337050.507,4263815.918,5.820,513.030,1763.029,4250.000,3125.000,1250.000,3.409,1.707
333800.507,4261565.918,4.100,513.050,1638.054,1000.000,875.000,1125.000,2.436,1.683
333800.507,4263815.918,3.421,486.930,1611.933,1000.000,3125.000,1125.000,2.033,1.683
336800.507,4262690.918,5.820,513.100,1763.104,4000.000,2000.000,1250.000,3.409,1.707
336675.507,4263690.918,5.820,486.870,1736.873,3875.000,3000.000,1250.000,3.409,1.707
332800.507,4261190.918,3.301,486.750,1611.750,0.000,500.000,1125.000,1.961,1.683
336675.507,4264065.918,5.820,486.720,1736.721,3875.000,3375.000,1250.000,3.409,1.707
333925.507,4261940.918,4.715,513.380,1638.380,1125.000,1250.000,1125.000,2.802,1.683
332925.507,4261315.918,3.301,486.620,1611.623,125.000,625.000,1125.000,1.961,1.683
334425.507,4263565.918,3.429,513.450,1638.449,1625.000,2875.000,1125.000,2.037,1.683
333675.507,4261315.918,3.346,513.460,1638.464,875.000,625.000,1125.000,1.988,1.683
335175.507,4265315.918,4.357,513.470,1638.469,2375.000,4625.000,1125.000,2.589,1.683
334175.507,4262690.918,3.419,513.490,1638.492,1375.000,2000.000,1125.000,2.031,1.683
336675.507,4260690.918,5.820,513.500,1763.499,3875.000,0.000,1250.000,3.409,1.707
335925.507,4260940.918,5.820,486.490,1736.495,3125.000,250.000,1250.000,3.409,1.707
334050.507,4262315.918,3.934,513.520,1638.520,1250.000,1625.000,1125.000,2.337,1.683
334925.507,4263565.918,3.791,513.580,1638.579,2125.000,2875.000,1125.000,2.253,1.683
337425.507,4264315.918,5.820,513.600,1763.600,4625.000,3625.000,1250.000,3.409,1.707
336175.507,4261940.918,5.820,486.310,1736.311,3375.000,1250.000,1250.000,3.409,1.707
334300.507,4264940.918,3.379,486.300,1611.298,1500.000,4250.000,1125.000,2.008,1.683
336800.507,4264315.918,5.820,486.260,1736.257,4000.000,3625.000,1250.000,3.409,1.707
336425.507,4262940.918,5.820,486.230,1736.234,3625.000,2250.000,1250.000,3.409,1.707
336675.507,4262190.918,5.820,513.820,1763.820,3875.000,1500.000,1250.000,3.409,1.707
337300.507,4264190.918,5.820,513.840,1763.841,4500.000,3500.000,1250.000,3.409,1.707
337675.507,4264940.918,5.820,513.850,1763.854,4875.000,4250.000,1250.000,3.409,1.707
336550.507,4261315.918,5.820,513.880,1763.880,3750.000,625.000,1250.000,3.409,1.707
336300.507,4262565.918,5.820,486.120,1736.120,3500.000,1875.000,1250.000,3.409,1.707
333300.507,4262315.918,3.341,486.100,1611.102,500.000,1625.000,1125.000,1.985,1.683
333550.507,4260940.918,3.335,513.930,1638.934,750.000,250.000,1125.000,1.982,1.683
333175.507,4262065.918,3.306,486.050,1611.054,375.000,1375.000,1125.000,1.964,1.683
333425.507,4262690.918,3.379,486.030,1611.029,625.000,2000.000,1125.000,2.008,1.683
334675.507,4264190.918,3.580,514.070,1639.072,1875.000,3500.000,1125.000,2.127,1.683
335925.507,4260690.918,5.820,485.880,1735.875,3125.000,0.000,1250.000,3.409,1.707
336925.507,4262940.918,5.820,514.130,1764.132,4125.000,2250.000,1250.000,3.409,1.707
337675.507,4263190.918,5.820,514.190,1764.190,4875.000,2500.000,1250.000,3.409,1.707
337175.507,4264940.918,5.820,485.800,1735.799,4375.000,4250.000,1250.000,3.409,1.707
333050.507,4261815.918,3.300,485.740,1610.741,250.000,1125.000,1125.000,1.961,1.683
336550.507,4261065.918,5.820,514.270,1764.272,3750.000,375.000,1250.000,3.409,1.707
333675.507,4263565.918,3.447,485.720,1610.723,875.000,2875.000,1125.000,2.048,1.683
334800.507,4263815.918,3.824,514.280,1639.284,2000.000,3125.000,1125.000,2.272,1.683
333925.507,4261815.918,4.888,514.290,1639.286,1125.000,1125.000,1125.000,2.904,1.683
334175.507,4262565.918,3.388,514.300,1639.305,1375.000,1875.000,1125.000,2.013,1.683
337175.507,4263940.918,5.820,514.460,1764.456,4375.000,3250.000,1250.000,3.409,1.707
336425.507,4263065.918,5.820,485.510,1735.507,3625.000,2375.000,1250.000,3.409,1.707
336550.507,4260815.918,5.820,514.530,1764.529,3750.000,125.000,1250.000,3.409,1.707
335050.507,4265065.918,3.612,514.530,1639.534,2250.000,4375.000,1125.000,2.146,1.683
335925.507,4261065.918,5.820,485.460,1735.460,3125.000,375.000,1250.000,3.409,1.707
334550.507,4265565.918,3.357,485.450,1610.454,1750.000,4875.000,1125.000,1.995,1.683
336050.507,4261565.918,5.820,485.420,1735.422,3250.000,875.000,1250.000,3.409,1.707
336800.507,4262565.918,5.820,514.580,1764.585,4000.000,1875.000,1250.000,3.409,1.707
334050.507,4264190.918,3.501,485.410,1610.415,1250.000,3500.000,1125.000,2.080,1.683
337675.507,4264690.918,5.820,514.600,1764.596,4875.000,4000.000,1250.000,3.409,1.707
332925.507,4261565.918,3.301,485.400,1610.398,125.000,875.000,1125.000,1.961,1.683
334175.507,4262440.918,3.746,514.630,1639.633,1375.000,1750.000,1125.000,2.226,1.683
337800.507,4265315.918,5.820,514.660,1764.664,5000.000,4625.000,1250.000,3.409,1.707
334175.507,4264690.918,3.412,485.270,1610.274,1375.000,4000.000,1125.000,2.027,1.683
334050.507,4264065.918,3.527,485.150,1610.146,1250.000,3375.000,1125.000,2.096,1.683
333550.507,4263065.918,3.539,485.100,1610.100,750.000,2375.000,1125.000,2.103,1.683
333550.507,4263190.918,3.551,485.090,1610.089,750.000,2500.000,1125.000,2.110,1.683
335300.507,4265565.918,5.093,514.920,1639.916,2500.000,4875.000,1125.000,3.026,1.683
334300.507,4262940.918,3.507,514.930,1639.927,1500.000,2250.000,1125.000,2.084,1.683
334800.507,4264440.918,3.745,514.960,1639.961,2000.000,3750.000,1125.000,2.225,1.683
334425.507,4265190.918,3.362,484.970,1609.971,1625.000,4500.000,1125.000,1.998,1.683
336925.507,4264565.918,5.820,484.910,1734.910,4125.000,3875.000,1250.000,3.409,1.707
337425.507,4265565.918,5.820,484.890,1734.887,4625.000,4875.000,1250.000,3.409,1.707
334425.507,4263440.918,3.420,515.110,1640.106,1625.000,2750.000,1125.000,2.032,1.683
334050.507,4262190.918,4.309,515.160,1640.159,1250.000,1500.000,1125.000,2.560,1.683
335925.507,4261315.918,5.820,484.800,1734.799,3125.000,625.000,1250.000,3.409,1.707
336175.507,4262065.918,5.820,484.800,1734.804,3375.000,1375.000,1250.000,3.409,1.707
334425.507,4263190.918,3.443,515.400,1640.401,1625.000,2500.000,1125.000,2.046,1.683
333425.507,4262815.918,3.405,484.570,1609.571,625.000,2125.000,1125.000,2.023,1.683
334925.507,4264815.918,3.625,515.470,1640.471,2125.000,4125.000,1125.000,2.154,1.683
333925.507,4261690.918,5.058,515.480,1640.476,1125.000,1000.000,1125.000,3.005,1.683
334175.507,4264815.918,3.393,484.520,1609.517,1375.000,4125.000,1125.000,2.016,1.683
336550.507,4261190.918,5.820,515.530,1765.532,3750.000,500.000,1250.000,3.409,1.707
333550.507,4263315.918,3.539,484.430,1609.433,750.000,2625.000,1125.000,2.103,1.683
336300.507,4262690.918,5.820,484.420,1734.418,3500.000,2000.000,1250.000,3.409,1.707
334425.507,4263315.918,3.415,515.590,1640.594,1625.000,2625.000,1125.000,2.029,1.683
337175.507,4263690.918,5.820,515.600,1765.602,4375.000,3000.000,1250.000,3.409,1.707
333675.507,4261190.918,3.352,515.620,1640.621,875.000,500.000,1125.000,1.992,1.683
333300.507,4262440.918,3.342,484.370,1609.366,500.000,1750.000,1125.000,1.986,1.683
337175.507,4265065.918,5.820,484.280,1734.278,4375.000,4375.000,1250.000,3.409,1.707
337800.507,4264940.918,5.820,515.760,1765.756,5000.000,4250.000,1250.000,3.409,1.707
336675.507,4262065.918,5.820,515.820,1765.824,3875.000,1375.000,1250.000,3.409,1.707
337800.507,4265065.918,5.820,515.850,1765.847,5000.000,4375.000,1250.000,3.409,1.707
335925.507,4260815.918,5.820,484.130,1734.130,3125.000,125.000,1250.000,3.409,1.707
332925.507,4261440.918,3.301,484.100,1609.101,125.000,750.000,1125.000,1.961,1.683
336675.507,4264190.918,5.820,484.080,1734.078,3875.000,3500.000,1250.000,3.409,1.707
336550.507,4263815.918,5.820,484.070,1734.067,3750.000,3125.000,1250.000,3.409,1.707
333675.507,4263940.918,3.460,483.990,1608.990,875.000,3250.000,1125.000,2.056,1.683
336550.507,4263940.918,5.820,483.970,1733.973,3750.000,3250.000,1250.000,3.409,1.707
336550.507,4260940.918,5.820,516.050,1766.052,3750.000,250.000,1250.000,3.409,1.707
336675.507,4263190.918,5.820,483.910,1733.912,3875.000,2500.000,1250.000,3.409,1.707
334550.507,4265690.918,3.357,483.890,1608.889,1750.000,5000.000,1125.000,1.995,1.683
334050.507,4264565.918,3.423,483.870,1608.867,1250.000,3875.000,1125.000,2.034,1.683
334300.507,4262815.918,3.485,516.130,1641.129,1500.000,2125.000,1125.000,2.071,1.683
333675.507,4260940.918,3.353,516.150,1641.146,875.000,250.000,1125.000,1.992,1.683
333800.507,4260940.918,3.373,516.200,1641.201,1000.000,250.000,1125.000,2.004,1.683
334550.507,4263690.918,3.596,516.210,1641.209,1750.000,3000.000,1125.000,2.137,1.683
333800.507,4261440.918,3.916,516.230,1641.225,1000.000,750.000,1125.000,2.327,1.683
333675.507,4263690.918,3.439,483.650,1608.647,875.000,3000.000,1125.000,2.043,1.683
337050.507,4264815.918,5.820,483.620,1733.623,4250.000,4125.000,1250.000,3.409,1.707
332925.507,4261690.918,3.300,483.570,1608.572,125.000,1000.000,1125.000,1.961,1.683
335925.507,4261190.918,5.820,483.530,1733.530,3125.000,500.000,1250.000,3.409,1.707
334175.507,4262315.918,4.284,516.480,1641.480,1375.000,1625.000,1125.000,2.545,1.683
332800.507,4261315.918,3.301,483.420,1608.416,0.000,625.000,1125.000,1.961,1.683
337050.507,4264690.918,5.820,483.410,1733.409,4250.000,4000.000,1250.000,3.409,1.707
333550.507,4263440.918,3.506,483.380,1608.378,750.000,2750.000,1125.000,2.083,1.683
333425.507,4262940.918,3.444,483.290,1608.291,625.000,2250.000,1125.000,2.046,1.683
333800.507,4264065.918,3.528,483.280,1608.284,1000.000,3375.000,1125.000,2.096,1.683
333550.507,4260690.918,3.328,516.770,1641.769,750.000,0.000,1125.000,1.977,1.683
334675.507,4264065.918,3.616,516.780,1641.785,1875.000,3375.000,1125.000,2.149,1.683
333175.507,4262190.918,3.309,483.150,1608.146,375.000,1500.000,1125.000,1.966,1.683
335175.507,4265190.918,4.357,516.880,1641.883,2375.000,4500.000,1125.000,2.589,1.683
333925.507,4264065.918,3.537,483.070,1608.066,1125.000,3375.000,1125.000,2.102,1.683
337675.507,4263065.918,5.820,516.970,1766.970,4875.000,2375.000,1250.000,3.409,1.707
336050.507,4261690.918,5.820,483.000,1732.997,3250.000,1000.000,1250.000,3.409,1.707
333050.507,4261940.918,3.299,482.990,1607.995,250.000,1250.000,1125.000,1.960,1.683
334425.507,4265315.918,3.362,482.960,1607.955,1625.000,4625.000,1125.000,1.998,1.683
333300.507,4262565.918,3.346,482.960,1607.963,500.000,1875.000,1125.000,1.988,1.683
333800.507,4261065.918,3.375,517.050,1642.047,1000.000,375.000,1125.000,2.005,1.683
337300.507,4265315.918,5.820,482.880,1732.877,4500.000,4625.000,1250.000,3.409,1.707
334925.507,4264690.918,3.871,517.130,1642.125,2125.000,4000.000,1125.000,2.300,1.683
337800.507,4265190.918,5.820,517.150,1767.153,5000.000,4500.000,1250.000,3.409,1.707
337675.507,4264440.918,5.820,517.170,1767.167,4875.000,3750.000,1250.000,3.409,1.707
337425.507,4265690.918,5.820,482.800,1732.802,4625.000,5000.000,1250.000,3.409,1.707
333800.507,4261315.918,3.738,517.200,1642.195,1000.000,625.000,1125.000,2.221,1.683
334425.507,4263065.918,3.484,517.210,1642.208,1625.000,2375.000,1125.000,2.070,1.683
336675.507,4261940.918,5.820,517.280,1767.285,3875.000,1250.000,1250.000,3.409,1.707
333550.507,4260815.918,3.331,517.280,1642.279,750.000,125.000,1125.000,1.979,1.683
332925.507,4261815.918,3.299,482.700,1607.703,125.000,1125.000,1125.000,1.960,1.683
335050.507,4264940.918,3.802,517.320,1642.321,2250.000,4250.000,1125.000,2.259,1.683
333675.507,4264065.918,3.497,482.670,1607.670,875.000,3375.000,1125.000,2.078,1.683
336300.507,4262815.918,5.820,482.660,1732.660,3500.000,2125.000,1250.000,3.409,1.707
334300.507,4265065.918,3.374,482.660,1607.661,1500.000,4375.000,1125.000,2.005,1.683
334800.507,4264315.918,3.846,517.350,1642.352,2000.000,3625.000,1125.000,2.285,1.683
336800.507,4264440.918,5.820,482.520,1732.521,4000.000,3750.000,1250.000,3.409,1.707
333675.507,4263815.918,3.426,482.510,1607.511,875.000,3125.000,1125.000,2.036,1.683
337675.507,4264565.918,5.820,517.550,1767.546,4875.000,3875.000,1250.000,3.409,1.707
336175.507,4262190.918,5.820,482.420,1732.424,3375.000,1500.000,1250.000,3.409,1.707
336800.507,4262440.918,5.820,517.590,1767.586,4000.000,1750.000,1250.000,3.409,1.707
336925.507,4262815.918,5.820,517.640,1767.644,4125.000,2125.000,1250.000,3.409,1.707
337175.507,4263815.918,5.820,517.670,1767.669,4375.000,3125.000,1250.000,3.409,1.707
334050.507,4262065.918,4.919,517.710,1642.709,1250.000,1375.000,1125.000,2.923,1.683
333925.507,4264440.918,3.438,482.220,1607.215,1125.000,3750.000,1125.000,2.043,1.683
333050.507,4262065.918,3.300,482.210,1607.211,250.000,1375.000,1125.000,1.961,1.683
334425.507,4265440.918,3.362,482.190,1607.188,1625.000,4750.000,1125.000,1.998,1.683
334050.507,4264690.918,3.415,482.070,1607.069,1250.000,4000.000,1125.000,2.029,1.683
334925.507,4264565.918,4.128,517.990,1642.986,2125.000,3875.000,1125.000,2.453,1.683
333925.507,4261565.918,4.864,518.050,1643.046,1125.000,875.000,1125.000,2.890,1.683
336050.507,4261815.918,5.820,481.860,1731.862,3250.000,1125.000,1250.000,3.409,1.707
336675.507,4261815.918,5.820,518.150,1768.147,3875.000,1125.000,1250.000,3.409,1.707
335425.507,4265690.918,5.639,518.170,1643.174,2625.000,5000.000,1125.000,3.351,1.683
337175.507,4263315.918,5.820,481.830,1731.828,4375.000,2625.000,1250.000,3.409,1.707
334175.507,4264940.918,3.389,481.830,1606.833,1375.000,4250.000,1125.000,2.014,1.683
335925.507,4261565.918,5.820,481.810,1731.813,3125.000,875.000,1250.000,3.409,1.707
334300.507,4262565.918,3.580,518.240,1643.240,1500.000,1875.000,1125.000,2.127,1.683
334300.507,4262690.918,3.421,518.290,1643.289,1500.000,2000.000,1125.000,2.033,1.683
334675.507,4263940.918,3.555,518.340,1643.338,1875.000,3250.000,1125.000,2.112,1.683
333175.507,4262315.918,3.315,481.640,1606.641,375.000,1625.000,1125.000,1.970,1.683
336425.507,4263190.918,5.820,481.610,1731.610,3625.000,2500.000,1250.000,3.409,1.707
333300.507,4262690.918,3.358,481.560,1606.557,500.000,2000.000,1125.000,1.995,1.683
336800.507,4260690.918,5.820,518.470,1768.474,4000.000,0.000,1250.000,3.409,1.707
337675.507,4264315.918,5.820,518.510,1768.513,4875.000,3625.000,1250.000,3.409,1.707
336175.507,4262315.918,5.820,481.490,1731.486,3375.000,1625.000,1250.000,3.409,1.707
337175.507,4263565.918,5.820,518.510,1768.512,4375.000,2875.000,1250.000,3.409,1.707
337050.507,4263440.918,5.820,481.440,1731.440,4250.000,2750.000,1250.000,3.409,1.707
334050.507,4261940.918,5.321,518.580,1643.577,1250.000,1250.000,1125.000,3.162,1.683
335300.507,4265440.918,5.093,518.620,1643.619,2500.000,4750.000,1125.000,3.026,1.683
333425.507,4263190.918,3.441,481.350,1606.348,625.000,2500.000,1125.000,2.045,1.683
335300.507,4265315.918,5.093,518.660,1643.656,2500.000,4625.000,1125.000,3.026,1.683
333425.507,4263065.918,3.454,481.290,1606.290,625.000,2375.000,1125.000,2.052,1.683
337300.507,4264065.918,5.820,518.760,1768.758,4500.000,3375.000,1250.000,3.409,1.707
336925.507,4262690.918,5.820,518.780,1768.775,4125.000,2000.000,1250.000,3.409,1.707
334425.507,4262940.918,3.507,518.870,1643.874,1625.000,2250.000,1125.000,2.084,1.683
336675.507,4261690.918,5.820,518.970,1768.969,3875.000,1000.000,1250.000,3.409,1.707
332800.507,4261440.918,3.301,481.030,1606.033,0.000,750.000,1125.000,1.961,1.683
336800.507,4262315.918,5.820,518.990,1768.987,4000.000,1625.000,1250.000,3.409,1.707
337550.507,4264315.918,5.820,519.040,1769.044,4750.000,3625.000,1250.000,3.409,1.707
336550.507,4264065.918,5.820,480.960,1730.964,3750.000,3375.000,1250.000,3.409,1.707
337175.507,4265190.918,5.820,480.960,1730.959,4375.000,4500.000,1250.000,3.409,1.707
333425.507,4263315.918,3.437,480.880,1605.876,625.000,2625.000,1125.000,2.042,1.683
337425.507,4264190.918,5.820,519.130,1769.131,4625.000,3500.000,1250.000,3.409,1.707
334175.507,4262190.918,4.898,519.200,1644.197,1375.000,1500.000,1125.000,2.910,1.683
336175.507,4262440.918,5.820,480.740,1730.739,3375.000,1750.000,1250.000,3.409,1.707
335925.507,4261440.918,5.820,480.680,1730.683,3125.000,750.000,1250.000,3.409,1.707
333550.507,4263565.918,3.455,480.670,1605.670,750.000,2875.000,1125.000,2.053,1.683
335050.507,4263440.918,3.964,519.350,1644.354,2250.000,2750.000,1125.000,2.355,1.683
334300.507,4262440.918,4.136,519.410,1644.406,1500.000,1750.000,1125.000,2.458,1.683
333550.507,4263940.918,3.451,480.580,1605.576,750.000,3250.000,1125.000,2.051,1.683
333300.507,4262815.918,3.376,480.520,1605.519,500.000,2125.000,1125.000,2.006,1.683
333800.507,4261190.918,3.372,519.550,1644.548,1000.000,500.000,1125.000,2.004,1.683
333925.507,4261440.918,4.682,519.560,1644.558,1125.000,750.000,1125.000,2.782,1.683
336675.507,4261565.918,5.820,519.560,1769.558,3875.000,875.000,1250.000,3.409,1.707
333925.507,4264190.918,3.505,480.360,1605.358,1125.000,3500.000,1125.000,2.083,1.683
