Northing_m,Easting_m,Elevation_m,Resistivity_ohmm
4250324.0,340192.9,330.932,5263.97
4250337.0,331984.9,472.8763,301.56
4250339.0,334408.6,606.1429,788.13
4250339.0,336483.2,489.2133,6433.38
4250353.0,338324.2,357.5025,25324.48
4250356.0,344765.8,539.4081,1125.15
4250361.0,346137.4,612.3665,1926.27
4250372.0,326627.9,546.4023,5.25
4250374.0,323990.0,532.425,23.82
4250384.0,329226.8,591.5711,11.43
4250392.0,331836.3,465.8303,302.65
4250397.0,334248.8,597.0671,854.7
4250410.0,341631.9,525.9013,1574.94
4250443.0,336197.7,466.5752,4273.02
4250455.0,331661.3,458.0603,289.8
4250455.0,334089.1,585.2916,914.56
4250458.0,326389.6,542.6937,5.88
4250462.0,329010.7,584.0038,7.42
4250465.0,343011.8,494.4513,679.94
4250465.0,347111.3,550.3621,905.98
4250470.0,339793.6,582.7384,5840.8
4250498.0,337926.4,599.8683,20639.35
4250502.0,344366.4,588.1311,729.14
4250506.0,345738.1,375.101,2640.35
4250508.0,323622.6,536.3362,26.95
4250513.0,333929.3,573.4526,824.09
4250529.0,331459.2,449.3022,255.4
4250537.0,335939.3,446.3546,2978.39
4250541.0,328794.6,576.7316,5.01
4250553.0,326129.7,538.5279,6.95
4250556.0,341232.5,490.6175,2218.37
4250571.0,333769.6,561.1806,680.66
4250607.0,331243.1,441.7619,202.65
4250610.0,342612.5,470.3476,821.22
4250610.0,346712.0,580.4281,1451.17
4250615.0,339394.2,545.9836,9751.43
4250620.0,328578.5,571.7624,3.59
4250625.0,335696.5,430.3993,2011.31
4250629.0,333609.8,549.8713,524.24
4250635.0,337548.6,575.1922,18063.93
4250647.0,343967.1,656.5663,623.36
4250652.0,345338.7,466.955,2198.72
4250657.0,325843.4,533.7483,8.57
4250684.0,333460.5,540.2606,396.14
4250686.0,331026.9,434.9087,147.43
4250698.0,328362.3,567.2876,2.75
4250701.0,340833.2,423.0832,3008.22
4250705.0,335476.8,419.9625,1462.39
4250731.0,333331.1,532.063,311.13
4250755.0,342213.1,377.8751,895.58
4250755.0,346312.6,612.7298,2096.37
4250760.0,337205.1,541.9335,13838.51
4250760.0,338994.8,472.8641,15941.87
4250765.0,330810.8,428.3956,99.9
4250771.0,333221.2,524.4893,258.54
4250773.0,325525.7,531.8101,10.73
4250775.0,335284.7,406.2998,1159.82
4250777.0,328146.2,562.4353,2.26
4250792.0,343567.7,434.0544,892.52
4250797.0,344939.3,545.639,1532.15
4250802.0,333135.4,518.4443,228.44
4250823.0,347270.3,544.2454,786.94
4250825.0,333073.5,515.4066,211.78
4250839.0,335108.6,392.9517,986.44
4250841.0,333028.7,514.0399,202.0
4250843.0,330594.7,420.745,64.22
4250846.0,340433.8,360.2427,4311.12
4250853.0,332996.4,514.3825,196.0
4250856.0,327930.1,558.9615,1.93
4250861.0,332973.2,514.2017,192.22
4250867.0,332956.9,513.2894,189.8
4250872.0,332944.1,512.2081,188.03
4250874.0,336891.2,505.0928,9798.62
4250876.0,332932.2,511.2537,186.5
4250880.0,332920.5,510.4453,185.07
4250884.0,332908.7,509.6252,183.74
4250889.0,332897.0,508.4129,182.49
4250894.0,332881.9,506.7978,181.01
4250899.0,334944.9,383.3563,889.8
4250900.0,325176.1,532.1305,13.02
4250901.0,341813.7,331.4897,1018.6
4250901.0,345913.2,374.5257,2839.07
4250902.0,332859.8,503.0862,179.08
4250906.0,338595.5,366.1677,22646.91
4250914.0,332828.4,497.9313,176.78
4250922.0,330378.5,414.4805,39.84
4250930.0,332784.7,495.5221,174.37
4250934.0,327713.9,555.6782,1.67
4250938.0,343168.3,488.7374,897.26
4250942.0,344540.0,589.9841,1074.17
4250952.0,332724.1,494.7965,172.38
4250957.0,334785.1,616.2122,530.24
4250968.0,346870.9,571.3147,1234.01
4250978.0,336605.7,476.1201,6160.04
4250982.0,332640.4,493.4589,171.7
4250992.0,340034.4,578.0407,5843.85
4251001.0,330162.4,409.3575,24.21
4251013.0,327497.8,552.6043,1.52
4251015.0,334625.4,605.7517,546.85
4251024.0,332524.2,487.8173,173.67
4251034.0,324809.2,530.778,14.46
4251046.0,341414.4,640.5624,1963.69
4251046.0,345513.8,447.9484,2721.24
4251051.0,338197.7,601.8822,19473.39
4251072.0,336347.3,447.1082,3745.87
4251073.0,334465.6,595.1324,574.36
4251079.0,329946.3,403.6642,14.59
4251079.0,332375.6,478.3101,178.07
4251083.0,342769.0,388.592,852.04
4251088.0,344140.6,644.4907,1022.96
4251092.0,327281.7,549.5367,1.58
4251114.0,346471.5,602.1393,1767.87
4251132.0,334305.9,584.3712,598.07
4251137.0,339635.0,470.2551,9310.15
4251142.0,332200.6,470.6668,180.33
4251158.0,329730.2,598.3642,8.03
4251161.0,336104.5,432.0055,2370.28
4251167.0,324441.8,531.9887,14.56
4251172.0,327060.1,547.0386,1.94
4251188.0,337819.9,559.7714,18843.28
4251190.0,334146.1,573.4778,603.94
4251191.0,345114.5,493.8181,2134.28
4251192.0,341015.0,658.357,2728.97
4251216.0,331998.5,462.8232,172.26
4251228.0,342369.6,627.821,887.82
4251233.0,343741.2,389.8814,1548.35
4251237.0,329514.0,591.2016,5.03
4251241.0,335884.8,426.8129,1610.92
4251244.0,333996.8,562.7507,585.79
4251259.0,326821.9,543.5668,2.75
4251259.0,346072.2,377.9075,2316.45
4251283.0,339235.7,404.3846,15405.63
4251291.0,333867.4,554.9656,552.05
4251294.0,331782.4,453.9689,147.5
4251294.0,347015.7,554.3163,933.94
4251301.0,324074.3,539.6763,14.36
4251311.0,335692.7,411.8219,1190.22
4251313.0,337476.4,532.546,16260.93
4251315.0,329297.9,583.1522,3.38
4251331.0,333757.5,547.7316,512.95
4251337.0,340615.6,329.4595,3188.61
4251337.0,344715.1,519.5912,1573.76
4251353.0,326562.0,538.9837,4.23
4251362.0,333671.7,541.1779,478.13
4251373.0,331566.2,444.9041,112.48
4251374.0,341970.2,576.4163,901.95
4251375.0,335516.6,394.1111,940.64
4251378.0,343341.8,448.8666,1627.09
4251385.0,333609.8,539.3294,451.86
4251394.0,329081.8,576.408,2.51
4251401.0,333565.0,538.131,432.72
4251404.0,345672.8,479.9239,2453.99
4251413.0,333532.7,536.8764,418.93
4251421.0,333509.5,536.5004,409.12
4251427.0,333493.2,536.0788,402.25
4251427.0,337162.5,508.4216,11216.56
4251428.0,338836.3,645.6948,15168.65
4251432.0,333480.4,535.7743,396.93
4251434.0,335352.9,383.1671,791.01
4251436.0,333468.5,535.2366,392.02
4251439.0,323696.7,545.4619,16.73
4251440.0,346616.3,587.7095,1207.85
4251441.0,333456.8,534.1246,387.19
4251445.0,333445.0,532.801,382.39
4251449.0,333433.3,531.3193,377.64
4251452.0,331350.1,436.2991,77.35
4251455.0,333418.2,529.3378,371.6
4251458.0,326275.6,535.7617,6.63
4251463.0,333396.1,525.0703,362.86
4251473.0,328865.6,573.0907,2.23
4251474.0,333364.7,520.1246,350.79
4251482.0,340216.3,562.6653,5555.89
4251482.0,344315.7,584.0665,1553.74
4251490.0,333321.0,518.7959,334.53
4251492.0,335193.1,616.7482,428.41
4251512.0,333260.4,518.8742,313.3
4251519.0,341570.9,556.0067,1228.47
4251524.0,342942.5,378.2834,1435.21
4251530.0,331134.0,427.7239,49.37
4251531.0,336877.0,475.2042,6907.03
4251543.0,333176.7,514.7108,286.61
4251550.0,335033.4,605.7219,417.25
4251550.0,345273.4,540.887,2121.75
4251551.0,328649.5,568.8818,2.5
4251573.0,325957.9,533.2838,10.04
4251573.0,338438.5,617.766,18426.25
4251582.0,323301.7,550.4469,28.84
