easting,northing,gCBGA
320079,4240545,-199.53400000000
320953,4240525,-201.07100000000
322556,4240490,-202.84200000000
322586,4240489,-202.47200000000
324234,4240453,-202.01200000000
325836,4240419,-200.72500000000
310518,4240856,-191.40100000000
343622,4240148,-214.98700000000
359307,4239952,-229.74700000000
343478,4240261,-214.13100000000
308088,4241061,-196.92500000000
327868,4240634,-196.80600000000
306806,4241129,-197.32500000000
327883,4240653,-196.48800000000
317345,4240902,-194.47200000000
333029,4240563,-195.33100000000
343800,4240348,-215.79500000000
333029,4240582,-195.18500000000
343320,4240394,-213.35800000000
348320,4240299,-234.30800000000
317318,4240977,-194.88000000000
317318,4240977,-194.92000000000
353525,4240295,-243.02300000000
343177,4240508,-212.65400000000
337813,4240632,-197.44400000000
343047,4240603,-211.82000000000
